GENE	CHR	START	TWAS.Z
VSTM5	11	93818232	-0.5322
PPME1	11	74171099	0.86118
STARD10	11	72754729	-0.56349
METTL12	11	62665309	0.93336
AP000580.1	11	77813319	1.25803
FADS3	11	61873519	0.17046
C1QTNF5	11	119338939	-3.15578
HSP90AA2P	11	27888838	-0.4286
PGA4	11	61222216	1.43693
HNRNPUL2-BSCL2	11	62690275	-0.65117
MFRP	11	119338942	0.03339
RBM14	11	66616582	3.35019
RP11-727A23.1	11	83213005	-0.25589
RP11-147I3.1	11	74876286	0.41966
CNTF	11	58622673	5.64202
RPL5P30	11	118560690	1.12404
RPS12P21	11	112218326	0.45785
IFITM10	11	1732410	-0.18448
RP11-425L10.1	11	46428653	-1.35618
RP11-466H18.1	11	16974693	2.39371
HBB	11	5225464	2.72566
USP2-AS1	11	119381778	-10.6186
RP11-677M14.7	11	124800450	1.09957
NEAT1	11	65422774	-4.56824
RP11-712B9.2	11	95150539	0.07861
AP001258.4	11	59130133	-4.56091
RAB30-AS1	11	83072066	1.1016
KCTD21-AS1	11	78139771	0.62924
RP11-613D13.5	11	43829709	1.81007
SBF2-AS1	11	9758292	-0.07381
RP11-685M7.3	11	10809297	0.62926
ZBED5-AS1	11	10858259	-0.17154
RP11-629G13.1	11	112959279	-0.34011
RBM14-RBM4	11	66616626	-2.02358
RP11-1391J7.1	11	856880	0.9873
RP11-295K3.1	11	1734821	0.03336
CTD-2516F10.2	11	7427266	-0.6165
MALAT1	11	65497762	3.44264
RP11-430H10.1	11	45355371	-5.19031
TMX2-CTNND1	11	57712605	-3.19027
AP5B1	11	65775893	-0.57967
RP11-867G23.10	11	66409158	4.28797
RP11-196E1.3	11	119608423	1.94869
AP003068.23	11	65177606	0.55857
RP11-727A23.4	11	83180144	-1.22923
RP11-660L16.2	11	71448674	-0.49934
RP11-320L11.2	11	86283927	-0.29582
RP11-1081L13.4	11	18706537	1.51001
DPP3	11	66480013	3.35019
RP11-655M14.12	11	67605521	-2.8723
RP11-110I1.12	11	118994824	0.39647
RP11-111M22.3	11	76441338	-0.614
RP11-655M14.4	11	67749043	-2.31212
TOLLIP-AS1	11	1309769	0.47742
RP11-754B17.1	11	665910	0.29426
AP003068.18	11	65174117	0.55857
AP006621.5	11	777578	-5.23773
CASC23	11	8011278	0.54925
CTD-2530H12.8	11	75596144	0.5582
RP11-867G23.8	11	66347950	4.28797
RP11-864I4.1	11	62559603	0.34589
CTD-3074O7.5	11	66473490	1.42073
RP4-683L5.1	11	35419057	0.68735
FDXACB1	11	111874056	0.02048
SNHG1	11	62851988	0.63603
RP11-881M11.4	11	60918469	-0.37459
HMBS	11	119084866	-1.20588
CTD-3074O7.11	11	66509079	4.91145
RP11-794G24.1	11	61539516	-1.49121
RP11-286N22.8	11	61429220	0.09625
PGA5	11	61241042	-1.50082
RP11-881M11.2	11	60906789	1.6415
RP11-658F2.8	11	66666036	1.49135
TRIM34	11	5619764	0.30537
SSSCA1-AS1	11	65568482	3.57636
AP000997.2	11	115638563	0.57532
RP11-690D19.3	11	103050687	-1.2229
LINC01616	11	29980113	-0.80971
RP11-21L23.2	11	76800364	-0.03281
TPBGL	11	75240905	0.36178
SPON1	11	13962689	-0.23495
SRSF8	11	95067197	-3.04087
PCF11-AS1	11	83185521	-0.19462
RP11-390K5.6	11	47168281	2.99847
RP11-359E10.1	11	19710934	0.74355
RP11-111M22.5	11	76392196	2.48128
RP11-111M22.4	11	76389648	-0.28915
RP11-158I9.8	11	118791254	-1.76776
AP006285.2	11	1580492	-1.72115
RP11-762L8.6	11	86434924	-1.24975
RP11-684N3.1	11	132403360	-0.34687
CTD-2562J17.6	11	75260129	-2.11373
RP11-286N22.14	11	61352244	0.27666
AP000866.1	11	124789244	0.74154
AP000437.3	11	61143380	0.5473
AP000711.1	11	117611101	1.24768
RP11-454H19.2	11	40107244	-0.9042
RP11-178H8.7	11	93726654	0.60867
RP11-113K21.6	11	83083687	1.1016
AP000892.6	11	117204967	0.64262
RP11-121L10.2	11	90223153	1.73803
LINC00294	11	33076149	0.90061
ST3GAL4-AS1	11	126340889	-0.26848
RP11-472I20.4	11	43578889	0.11957
FKBP4	12	2794953	-1.34169
RECQL	12	21468911	-0.15162
ADIPOR2	12	1688574	1.36154
DYRK4	12	4562204	0.15879
CD9	12	6199715	0.16921
NCAPD2	12	6493356	1.74772
SLC6A13	12	220621	-1.25372
LRRC23	12	6873569	-1.14868
TSPAN9	12	3077355	-1.55067
DCN	12	91140484	1.74844
CALCOCO1	12	53708517	-0.02426
HEBP1	12	12974864	0.26553
YAF2	12	42157104	-0.58493
CNTN1	12	40692442	-0.17687
STRAP	12	15882391	-0.58528
HSD17B6	12	56752161	1.13877
ARNTL2	12	27332854	-3.12035
ZCCHC8	12	122471600	-2.93942
HOXC8	12	54009106	-0.84986
KITLG	12	88492793	-0.78075
LIMA1	12	50175788	0.87816
NRIP2	12	2825348	0.56972
PPP1R12A	12	79773563	-0.55891
STYK1	12	10618939	1.66275
BCAT1	12	24810022	-1.42243
HDAC7	12	47782722	0.22066
MRPS35	12	27710773	1.45652
MON2	12	62466817	0.57829
CS	12	56271699	-0.31202
EIF4B	12	53006158	-0.1876
ASUN	12	26905181	0.6024
DGKA	12	55927319	-0.95292
DIP2B	12	50504985	0.28259
SMARCD1	12	50084972	2.00442
NAV3	12	77324641	1.84637
ABCC9	12	21797401	-0.8885
LRP6	12	12116025	0.75982
ATP2B1	12	89588049	-0.4112
SLC6A15	12	84859488	0.19533
SCARB1	12	124776856	1.53994
NUAK1	12	106063340	-0.22834
WSCD2	12	108129471	-0.65074
SART3	12	108522580	0.31666
RBMS2	12	56521929	0.21569
BAZ2A	12	56595596	1.56508
ACACB	12	109116595	3.65813
TIGAR	12	4307763	-1.45282
RAPGEF3	12	47734367	-4.86671
RAB21	12	71754874	0.25531
AACS	12	125065379	0.81668
FAM234B	12	13044284	-2.36934
SLCO1A2	12	21264600	-1.17416
WBP11	12	14784579	-0.58528
AQP6	12	49967194	0.2259
TMED2	12	123584531	0.8803
ERGIC2	12	29337352	0.8035
TESC	12	117038923	-1.67053
MAPKAPK5	12	111841978	-1.59311
P2RX7	12	121132819	-0.25778
ANAPC5	12	121308245	0.15251
KDM2B	12	121429097	-0.06203
OAS1	12	112906777	-3.83175
PXN	12	120210439	-0.4951
PEBP1	12	118135858	-0.02586
ERP29	12	112013316	-0.53891
NOS1	12	117208142	0.65843
GOLGA3	12	132768909	1.69539
OSBPL8	12	76351797	0.27305
CBX5	12	54230940	-0.68387
EEA1	12	92770637	-2.01262
VWF	12	5948874	0.14152
PSMD9	12	121888731	-0.49811
PPFIBP1	12	27523431	-1.7202
PRDM4	12	107732866	-1.38773
COQ5	12	120503274	-0.03369
SELPLG	12	108622277	-1.27207
CORO1C	12	108645109	2.90356
TSPAN11	12	30926428	2.35459
SLC11A2	12	50979401	-0.58465
MLEC	12	120686869	0.4951
CSRNP2	12	51061205	-1.47558
CAMKK2	12	121237691	-0.1284
SYT10	12	33374238	0.58278
LIN7A	12	80792520	-1.23954
ACSS3	12	80936414	1.28791
PPM1H	12	62643982	0.2648
METAP2	12	95473520	-0.74404
LTA4H	12	96000828	-0.6979
SLC6A12	12	190077	-1.54542
WNT5B	12	1529891	-0.6841
ITFG2	12	2812622	-0.8646
PRR4	12	10845849	0.78577
PRMT8	12	3381349	1.30301
PARP11	12	3791047	-1.06821
GPN3	12	110452484	-1.70018
VPS29	12	110491097	1.49789
RAD51AP1	12	4538798	-0.35028
SH2B3	12	111405948	-3.25404
AKAP3	12	4615508	0.35712
MANSC1	12	12326056	0.8028
KCNA1	12	4909905	-1.99135
DUSP16	12	12474210	1.5884
ALDH2	12	111766887	-2.60838
CDKN1B	12	12715058	-1.7562
LTBR	12	6375045	1.49515
RASAL1	12	113098819	-0.50791
ARHGDIB	12	14942017	0.97232
GTF2H3	12	123633739	-0.60946
SLC38A1	12	46183063	2.03985
VDR	12	47841537	0.05123
RFC5	12	118013588	-1.11637
COPZ1	12	54301202	0.64689
TBC1D30	12	64781193	0.91355
CAND1	12	67269281	0.09872
RAB5B	12	55973913	1.27066
MDM1	12	68272443	1.70155
CNOT2	12	70242994	1.43641
TIMELESS	12	56416373	-0.72748
CPSF6	12	69239537	0.35396
KRR1	12	75490861	0.42667
MRPL51	12	6491886	1.14868
GAPDH	12	6533927	0.83677
CHD4	12	6570083	-1.05227
ACRBP	12	6638075	0.22893
COPS7A	12	6723741	1.0691
CDCA3	12	6844793	1.1663
CHPT1	12	101696947	-1.94366
USP5	12	6852128	0.16359
TPI1	12	6867119	-0.07284
GNPTAB	12	101745497	2.63793
ENO2	12	6913745	1.8652
C12orf57	12	6942978	-0.11932
PTPN6	12	6946468	0.51042
LPCAT3	12	6976186	2.27613
NT5DC3	12	103770453	1.94355
SUDS3	12	118376380	2.09229
LDHB	12	21635342	-0.15162
PRKAB1	12	119667753	-0.69796
CMAS	12	22046174	1.33752
HCFC2	12	104064457	-0.89521
ST8SIA1	12	22063773	2.8122
RFX4	12	106582907	7.88306
FBRSL1	12	132489551	-1.99466
CASC1	12	25108420	0.61093
LRMP	12	25004342	-0.82176
SLC16A7	12	59596067	-0.61071
TMEM5	12	63779803	0.46191
CCND2	12	4273772	2.19681
IQSEC3	12	66765	1.67984
NR2C1	12	95020229	-0.75979
UTP20	12	101280109	0.59585
TMPO	12	98515512	0.2837
CCDC53	12	102012927	0.81555
PLBD1	12	14503661	-2.5436
TAS2R10	12	10825317	1.12685
KCNJ8	12	21764955	-0.88135
TBC1D15	12	71839707	1.04573
RBM19	12	113816738	-1.51858
CIT	12	119685790	2.17237
ACADS	12	120725735	-0.643
HVCN1	12	110627841	-0.00315
RASSF8	12	25959029	0.95891
BHLHE41	12	26120026	1.2206
SSPN	12	26121991	-2.41609
ITPR2	12	26336515	1.69192
CCDC91	12	28133249	-2.2367
TSFM	12	57782589	-1.05283
ARHGAP9	12	57472255	-0.94623
MMP19	12	55835433	-0.53069
SPATS2	12	49366584	-1.19278
NR4A1	12	52022832	-0.28559
ATG101	12	52069246	0.45101
SMUG1	12	54121277	0.67708
PIWIL1	12	130337887	-2.15867
ZNF384	12	6666477	0.24118
EMG1	12	6970893	0.38207
HELB	12	66302545	0.9996
RAP1B	12	68610839	-1.33656
RAB3IP	12	69738681	0.26359
PTPRB	12	70515866	1.32112
DYRK2	12	67648338	1.53306
METTL25	12	82358497	1.0304
CCNT1	12	48688458	-0.34093
KCNA5	12	5043989	-1.95142
CCDC62	12	122774327	0.49796
RAN	12	130871879	-0.70565
C12orf29	12	88033846	0.12837
TMTC1	12	29500840	0.17715
IPO8	12	30628988	-1.41462
ZFC3H1	12	71609472	-1.9609
PPHLN1	12	42238447	-0.87726
FKBP11	12	48921518	1.04556
ARF3	12	48935723	-1.28529
TMEM106C	12	47963569	-1.27405
PLEKHA8P1	12	45173064	-0.41482
EMP1	12	13196716	1.27137
KLRD1	12	10226058	-1.14631
KLRC1	12	10442264	1.66275
SPX	12	21526307	0.87315
TAOK3	12	118149801	-0.13563
USP30	12	109023089	-0.72046
SDS	12	113392445	1.25965
RNFT2	12	116738178	-1.29864
P2RX4	12	121209857	0.84977
BICDL1	12	119989869	1.43679
DTX1	12	113056709	-1.76301
TRAFD1	12	112125501	3.65287
ATP5G2	12	53632726	-0.1543
DNAJC14	12	55820960	0.35618
CD63	12	55725323	-0.65233
PRPH	12	49293252	0.82164
AVIL	12	57797376	0.96525
GLS2	12	56470944	-0.12034
ITGA7	12	55684568	1.12601
RDH5	12	55720367	0.42149
AGAP2	12	57723761	2.09706
TROAP	12	49323236	0.68037
TSPAN31	12	57738013	-1.10477
TFCP2	12	51093663	-0.1937
PAN2	12	56316223	-0.63313
ZC3H10	12	56118159	0.09769
HNRNPA1	12	54280193	0.95123
SLC26A10	12	57619527	-1.10477
OS9	12	57693955	-1.08669
KCNMB4	12	70366276	0.69213
USP15	12	62260338	1.34388
GNS	12	64713445	1.3942
MDM2	12	68808176	0.82352
ISCU	12	108562582	-2.40832
ALDH1L2	12	105019784	0.38466
USP44	12	95516560	-0.30078
SCYL2	12	100267140	0.89455
CKAP4	12	106237877	2.39497
PLXNC1	12	94148723	0.2588
APPL2	12	105173296	0.42689
PWP1	12	107685732	-0.58134
KIAA1033	12	105107324	-0.28345
B4GALNT3	12	460364	1.55689
ERP27	12	14914035	0.87899
ETV6	12	11649854	0.29964
GABARAPL1	12	10212458	1.16284
KIF21A	12	39293228	1.36309
CPNE8	12	38646822	-1.53809
YARS2	12	32727490	-0.96163
FGD4	12	32399529	0.01498
AEBP2	12	19404045	-0.71978
SLCO1C1	12	20695355	-0.46776
TMEM117	12	43835967	4.76612
C1RL	12	7089587	-0.07311
NDUFA9	12	4649095	0.30376
KLRG1	12	8950044	-0.30056
VAMP1	12	6462237	0.32842
PEX5	12	7188685	-0.88032
PIANP	12	6693792	0.16921
AMIGO2	12	47075707	1.02654
PPFIA2	12	81257975	-0.17293
LLPH	12	66116555	0.29857
RPL14P1	12	62965325	-1.10999
MARCH9	12	57755098	-1.40195
GLIPR1	12	75480680	0.38751
PHLDA1	12	76025447	-0.63581
PTPRQ	12	80402178	1.70554
DUSP6	12	89347232	3.94701
POC1B	12	89419718	1.11982
LUM	12	91102629	-1.22616
SNRPF	12	95858928	0.22737
NEDD1	12	96907223	-0.66045
GAS2L3	12	100573683	-0.17175
TMEM132B	12	125186836	0.29837
TDG	12	103965804	0.99377
RITA1	12	113185526	0.27414
SDSL	12	113422237	-0.60709
MMAB	12	109553737	4.74955
GLTP	12	109850943	-5.21727
GIT2	12	109929792	-0.81221
TCHP	12	109900264	-1.17802
FOXN4	12	109277979	-0.63852
SUOX	12	55997180	-1.93835
CCDC65	12	48904110	0.22734
SLC39A5	12	56230049	1.36986
TARBP2	12	53500921	0.69853
RDH16	12	56951431	-1.32447
ACVRL1	12	51906908	0.57023
GPR84	12	54362445	2.26117
KANSL2	12	48653401	-0.68563
CERS5	12	50129306	-2.72518
MAP3K12	12	53479669	0.20113
ITGB7	12	53191318	-0.54571
CSAD	12	53157663	1.92288
LMBR1L	12	49096551	-0.25379
ESYT1	12	56118250	-1.65482
TMBIM6	12	49707725	-0.11032
SETD1B	12	121804180	0.34026
RHOF	12	121777754	0.34026
DENR	12	122752774	1.40107
SRRM4	12	118981495	-1.91837
HMGA2	12	65824131	-1.06478
ABCB9	12	122920951	-4.58005
RILPL2	12	123410683	2.09694
DHX37	12	124946825	-2.91009
UBC	12	124911604	1.85035
CACNA2D4	12	1791957	-0.35978
DCP1B	12	1946054	-0.71582
CACNA1C	12	1970786	1.42451
C12orf45	12	104986310	-0.39595
TMEM263	12	106955719	0.45429
BTBD11	12	107318413	-0.69931
UBE3B	12	109477402	2.73355
RAD9B	12	110501655	-4.19181
PLBD2	12	113358566	-0.21346
SLC2A13	12	39755021	1.29982
GXYLT1	12	42081845	-0.94249
PTPRO	12	15322397	-0.86917
EPS8	12	15620158	-0.07912
AMN1	12	31671137	-0.55704
BICD1	12	32106835	1.9167
HSPB8	12	119178642	-0.17897
MED21	12	27022546	1.28669
RASSF3	12	64507001	-0.58655
PTPRR	12	70638073	0.08158
GRIP1	12	66347431	-0.98295
KIF5A	12	57549998	-0.96435
CABP1	12	120640552	-0.94946
SPPL3	12	120762510	-0.80842
C12orf43	12	121000486	0.4951
WDR66	12	121917862	-0.42783
LRRC43	12	122167738	0.32876
PTMS	12	6765516	1.83418
C1R	12	7080209	-1.74772
ZNF385A	12	54369133	0.2325
RACGAP1	12	49976923	-0.19047
E2F7	12	77021247	0.96435
PDZRN4	12	41188448	0.33222
KCNC2	12	75040077	-0.48396
TCP11L2	12	106301929	-1.94625
SVOP	12	108907741	0.23837
IKBIP	12	98613405	-1.29833
AVPR1A	12	63142759	0.37571
DEPDC4	12	100203669	0.86974
LRTM2	12	1820267	0.03281
FRS2	12	69470349	0.58277
CCT2	12	69585334	-1.36734
A2ML1	12	8822472	0.47822
HSP90B1	12	103930107	-1.43393
TAC3	12	57010000	0.82495
NAB2	12	57088894	0.29189
STAT6	12	57095408	-1.02559
ATP23	12	57941541	-0.96313
PIP4K2C	12	57591174	-0.82495
MARS	12	57475445	1.33357
MBD6	12	57520710	1.33357
POP5	12	120578764	-0.56367
ZNF641	12	48337180	-2.07208
KMT2D	12	49018975	0.81854
TUBA1C	12	49188736	-0.17848
NCKAP5L	12	49791146	0.33215
GPD1	12	50103819	-0.7279
ANKRD33	12	51887960	-0.37373
KRT80	12	52168996	0.39529
TCTN2	12	123671113	1.45696
DENND5B	12	31382223	1.45119
PYM1	12	55901413	1.18539
STAT2	12	56341597	2.3759
TRIAP1	12	120443961	-1.43679
CHST11	12	104455295	-1.24509
KSR2	12	117453012	0.49448
ATF7IP	12	14365632	0.78351
PAH	12	102836885	2.30814
FBXL14	12	1565993	0.75967
CLEC7A	12	10116777	-0.04128
PDE3A	12	20369245	4.28527
RND1	12	48857145	-1.42386
THAP2	12	71663009	-3.37376
CEP83	12	94306449	0.60852
MSRB3	12	65278643	5.24603
LEMD3	12	65169571	0.42286
ADCY6	12	48766194	-1.8543
MYO1H	12	109347903	-1.77553
KIAA1551	12	31959370	-0.55122
FBXW8	12	116910956	3.2373
CSRP2	12	76858715	0.5652
DDIT3	12	57516588	0.46647
CTDSP2	12	57819927	-0.10585
ALG10B	12	38316578	-0.18818
MLXIP	12	122078722	0.77563
UNC119B	12	120710435	-0.52923
VSIG10	12	118063593	-1.4323
PXMP2	12	132687606	-0.91085
ANKLE2	12	132725503	-1.86445
ANO6	12	45215987	-0.41482
ULK1	12	131894651	0.44971
PUS1	12	131929200	0.52191
OVOS2	12	31111652	0.65618
RP11-218M22.1	12	630891	-4.25824
PAWR	12	79574979	-2.27126
CD163L1	12	7346685	0.77934
CCDC184	12	48183584	0.26196
ASB8	12	48147788	-0.62457
DPY19L2	12	63558913	0.35013
DNAJC22	12	49346917	0.33232
COX14	12	50111979	5.61086
APOLD1	12	12725917	1.7562
TMTC2	12	82686880	0.7029
ZNF664	12	123971845	1.34421
SLC17A8	12	100357079	1.41575
PCED1B	12	47079603	-0.95655
R3HDM2	12	57253762	-0.5419
FGD6	12	95076749	-0.97772
GLIPR1L2	12	75391070	1.9372
CAPS2	12	75275979	-0.63581
DDN	12	48995149	1.03993
RNF41	12	56202175	-1.10116
ARL6IP4	12	122980060	4.2247
SHMT2	12	57229327	0.22556
NXPH4	12	57216795	0.79736
TMEM198B	12	55829608	1.45443
C12orf60	12	14803572	1.5944
GPR19	12	12660891	0.05251
TMEM119	12	108589846	6.98731
CCDC60	12	119334712	-0.94195
DAZAP2	12	51238292	-0.5766
EP400	12	131949920	-0.75649
TBK1	12	64451880	3.55547
HTR7P1	12	13000420	-0.6
DIABLO	12	122207662	-0.36606
SNRNP35	12	123457641	-2.69568
POU6F1	12	51186936	-0.33486
XPOT	12	64404350	3.54471
NELL2	12	44508275	-0.66734
NOC4L	12	132144448	0.22272
BRI3BP	12	124993700	1.73032
DDX51	12	132136594	0.38978
C12orf56	12	64264762	-0.07881
METTL7A	12	50923472	-1.60333
STAC3	12	57243453	-0.08923
SP1	12	53380176	0.26819
NDUFA4L2	12	57234903	1.62612
PMEL	12	55954105	-0.24169
RP11-887P2.3	12	93640822	1.48366
PPP1CC	12	110719680	1.90246
TPCN1	12	113221050	0.25799
C1QL4	12	49332411	-0.00632
ZDHHC17	12	76763588	-1.11074
MCRS1	12	49556544	-1.061
CFAP54	12	96489571	-1.32083
TMEM120B	12	121712752	-1.15708
LRRK2	12	40196744	-1.66118
MYL6B	12	56152256	-0.87846
NCOR2	12	124324415	-0.70009
LINC00173	12	116533422	-0.61355
SCN8A	12	51590266	-0.11262
SRGAP1	12	63844293	0.55985
RPS26	12	56041853	1.93835
HIST4H4	12	14767999	-2.05224
IRAK4	12	43758944	0.96268
MRPL42	12	93467488	1.18837
PRIM1	12	56731596	0.82905
TMEM116	12	111931282	2.312
TXNRD1	12	104215779	-0.8292
MMP17	12	131828393	0.63507
CEP290	12	88049014	-0.19514
ATXN2	12	111452214	-0.24917
TCTN1	12	110614027	2.45038
FAM216A	12	110468364	-2.7578
C12orf73	12	103950202	0.05095
LYRM5	12	25195216	-1.39938
LOH12CR2	12	12355406	0.25308
C1RL-AS1	12	7108052	-0.77002
STK38L	12	27243968	2.06476
SLC48A1	12	47753916	-0.73724
TAS2R19	12	11021619	-0.98103
LINC01089	12	121795267	0.80675
RP11-64B16.2	12	119194850	-0.05591
RPL18AP3	12	104265309	-1.56844
RP11-75L1.2	12	9695384	0.1456
DDX47	12	12813316	-0.40003
KLRK1	12	10372353	2.36497
RP11-726G1.1	12	9467552	0.46045
PHB2	12	6965327	-0.66137
CD27-AS1	12	6439001	-0.46079
AC079630.4	12	40186009	0.71924
SLC9A7P1	12	98453835	-0.51558
RP11-745O10.4	12	66123917	3.25189
RPL41	12	56116586	-0.44256
TSPAN19	12	85014311	-1.68092
RP11-282O18.3	12	123252030	4.175
TRHDE-AS1	12	72253508	-2.41098
RP5-1063M23.2	12	3318718	2.29456
LINC00987	12	9240003	0.15363
GGTA2P	12	67265842	0.36907
GOLGA2P5	12	100156357	-1.48864
RPS2P5	12	118246084	-0.0992
ARHGEF25	12	57610180	0.32412
DDX11-AS1	12	31020763	-0.83308
RP11-277P12.20	12	10363769	0.43021
RASSF8-AS1	12	25939329	0.24929
H2AFJ	12	14774383	-1.62291
SOCS2-AS1	12	93542463	-2.00976
LINC01252	12	11548030	0.78577
RP11-637A17.2	12	68674371	0.78849
RP11-967K21.1	12	28163298	1.6102
RP11-768F21.1	12	119387987	-1.66561
FAM138D	12	36602	-1.56823
RP11-359B12.2	12	974133	-1.17974
FZD10-AS1	12	130144315	-0.3645
GPR162	12	6821545	-0.42988
RP11-46H11.3	12	132911470	-0.72146
ATXN7L3B	12	74537827	0.2665
PABPC1P4	12	63822021	-0.48514
RP11-766N7.3	12	64883394	1.4011
AGAP2-AS1	12	57726271	-0.22592
RMST	12	97431653	-1.18265
RP11-157G21.2	12	7438780	-0.11932
PXN-AS1	12	120201291	-1.00438
RP5-940J5.3	12	6532290	-0.24118
RP11-417L19.4	12	131924736	-1.12776
RP11-728G15.1	12	120629611	1.93649
RP13-942N8.1	12	123363868	-0.45133
ZNF10	12	133130575	-1.85867
SUPT16HP1	12	16399274	0.96119
CCDC150P1	12	122322122	0.76244
TAS2R31	12	11030387	-0.98103
SMIM10L1	12	11171222	-1.50466
RP13-977J11.2	12	132186735	0.12383
RP11-611O2.3	12	68841946	0.92907
KLRA1P	12	10588063	1.21774
RP11-283G6.3	12	26125155	-0.72747
RP11-273B20.1	12	7129079	-0.51752
RP11-359J14.2	12	22460519	-1.26672
GATC	12	120446438	1.48206
LINC01619	12	91984976	-1.67591
RP11-96H19.1	12	46383679	-0.42796
RP3-405J10.3	12	50185580	0.87816
RP11-977G19.11	12	56300142	0.53069
RP11-983P16.4	12	53014596	1.56363
RP11-603J24.9	12	56101331	-0.99909
RP11-175P13.3	12	100173196	-0.26415
RP11-585P4.5	12	75483454	2.79923
RP11-762I7.4	12	55761550	0.28991
GALNT4	12	89519408	1.07458
RP11-341G23.4	12	103746315	0.2508
CNPY2	12	56309842	-0.72748
RP11-474L23.3	12	88057876	0.20745
LINC01481	12	69904033	-1.43641
C1GALT1P1	12	69284397	-1.47387
RP11-616L12.1	12	55009746	-0.43024
RP11-554D14.2	12	107903270	-0.81397
RP11-977G19.5	12	56162359	-0.42149
RP11-478C19.2	12	110387463	-6.9379
RP11-123K3.4	12	57249609	1.10116
RP11-412D9.4	12	106954029	3.60989
RP11-793H13.10	12	53506688	0.35466
RP5-1057I20.4	12	47784923	4.86671
RP11-193M21.1	12	85263544	-1.22671
RP11-214K3.20	12	123968023	-1.38175
RP11-571M6.17	12	57803838	-1.90215
RP11-793H13.11	12	53500162	1.95675
RP11-1109F11.3	12	89367807	-2.61046
RP11-500M8.7	12	4604944	-0.37876
RP11-352M15.2	12	45718046	0.29743
GRIN2B	12	13437942	-0.63566
RP11-996F15.6	12	29332733	0.72327
RP11-370I10.11	12	48360920	-0.61254
RP11-585P4.6	12	75333798	-0.3156
RP11-278C7.3	12	32728169	0.62804
RP1-267L14.6	12	112018804	-0.63129
RP11-554D14.8	12	107835541	0.81397
RP11-817I4.1	12	32339368	-0.24298
RP11-631N16.4	12	62603909	0.64593
RP11-131L12.4	12	118430147	-1.19293
RP11-996F15.4	12	29277397	-0.8035
U47924.32	12	6899752	-0.04536
RP11-131L12.3	12	118428281	0.42283
RP11-582E3.6	12	27037100	-2.43379
RP11-278C7.5	12	32736930	1.20017
STMN1P1	12	31715342	2.01091
RP11-713N11.6	12	25103124	-1.54365
RP1-267D11.6	12	120116907	-0.94623
RP11-651L5.3	12	106250759	1.99996
RP11-454E5.4	12	51201684	0.16989
RP11-575F12.3	12	127147149	0.13402
RP11-89H19.2	12	47905122	0.38261
CEP83-AS1	12	94460003	-1.2666
RP11-46H11.11	12	132865855	1.77109
RP11-158L12.4	12	125138245	-0.1739
RP11-417L19.5	12	131896500	0.40723
RP11-21K12.2	12	128813186	-0.16292
RP13-554M15.2	12	132565071	0.02115
RP11-117L5.1	12	130425004	0.07124
RP11-135F9.3	12	100032325	-0.13057
RP11-463O12.5	12	122870059	-1.59107
HELLPAR	12	102197585	3.08583
PCBP2-OT1	12	53464468	-1.26156
RP11-624J6.2	12	53241889	-2.73071
FBXL3	13	76992598	0.1141
AKAP11	13	42272153	-0.473
MIPEP	13	23730189	-0.22691
IFT88	13	20567069	1.64589
MYO16	13	108596152	-0.08189
ATP11A	13	112690329	-0.83162
FRY	13	32031300	-1.45199
DIS3	13	72752169	-4.89336
NUFIP1	13	44939249	0.14712
PDS5B	13	32586427	3.70235
DOCK9	13	98793429	-0.43295
ANKRD10	13	110878540	-0.86233
NALCN	13	101053776	0.17602
FGF14	13	101710804	-0.28748
HTR2A	13	46831550	1.05225
TNFSF13B	13	108251240	0.95347
FNDC3A	13	48975912	-0.64963
CDADC1	13	49247925	-2.90286
UGGT2	13	95801580	0.20404
ARHGEF7	13	111114559	-0.51152
PARP4	13	24420926	0.74516
SUPT20H	13	37009312	-0.37226
MRPS31	13	40729135	-0.98024
SLC25A15	13	40789412	1.38222
KPNA3	13	49699307	0.53423
FLT1	13	28300344	-1.86958
RGCC	13	41457559	-1.56425
VWA8	13	41566837	-0.26387
DGKH	13	42040036	-2.29657
OLFM4	13	53028759	-1.44801
UCHL3	13	75549480	0.24115
PCDH17	13	57631810	1.4474
ENOX1	13	43213518	1.30448
SOHLH2	13	36168208	0.0579
PROSER1	13	39009866	1.38336
UFM1	13	38349849	-2.16402
WBP4	13	41061274	0.74665
SMAD9	13	36844831	0.79759
HSPH1	13	31134974	1.25797
KBTBD7	13	41189833	0.06504
ALG5	13	36949775	0.55037
MTIF3	13	27435643	-0.90811
GTF3A	13	27424544	-0.56377
ZC3H13	13	45954465	0.78879
CLYBL	13	99606669	0.72535
RAP2A	13	97434222	0.27929
ABCC4	13	95019829	-0.47375
EFNB2	13	106489731	1.42239
TM9SF2	13	99501417	0.08546
MCF2L	13	112894378	-0.1633
F10	13	113122814	2.36157
PCID2	13	113177539	0.25162
TNFRSF19	13	23570370	-0.55627
RNF6	13	26132115	0.21325
CDC16	13	114234887	0.03371
MTUS2	13	28820348	0.31661
ZMYM5	13	19823482	-0.22817
USPL1	13	30617693	-0.05485
CDK8	13	26254104	-0.06498
ALOX5AP	13	30713478	0.27691
DCLK1	13	35768652	-3.182
CCNA1	13	36431520	0.36085
EPSTI1	13	42886388	1.42528
TRPC4	13	37636636	0.427
RFXAP	13	36819224	0.82116
TPT1	13	45333471	2.64996
RFC3	13	33818049	-0.24593
GGACT	13	100530164	1.39783
