PROTEIN	CHR	START	TWAS.Z
POFUT1	20	32207880	-0.0552
ASIP	20	34194569	-0.0631
CBLN4	20	55997357	-0.9521
SIRPB1	20	1561385	-0.0936
CPXM1	20	2794074	-1.5988
WISP2	20	44714844	0.5323
MATN4	20	45293445	0.7596
SPINT3	20	45512461	0.2807
OXT	20	3071620	-0.0867
RSPO4	20	958452	-3.7454
EMILIN3	20	41359962	-2.9457
ENTPD6	20	25195693	-1.4732
SIRPG	20	1629152	-0.9925
PDXK	21	43719094	 0.8007
CBR1	21	36069941	 0.1194
CBR3	21	36135079	-0.0899
COL6A2	21	46098112	 3.6392
COL6A1	21	45981770	-0.2532
MX1	21	41420020	 0.9908
HSPA13	21	14371115	-1.5605
COL18A1	21	45405165	-0.4261
IL10RB	21	33266367	 0.0796
ADAMTS5	21	26917922	 1.9758
APP	21	25880550	 2.1081
ICOSLG	21	44217014	-0.0220
FAM3B	21	41304212	-0.4596
NCAM2	21	20998409	 0.0378
DSCAM	21	40010999	-0.3987
FAM3B	21	41304212	-0.3311
IFNAR1	21	33324429	 0.4695
TFF1	21	42362282	-0.7867
CSF2RB	22	36913628	-0.4441
TYMP	22	50525752	-1.2635
APOL1	22	36253071	-1.4051
APOBEC3G	22	39077067	 1.4588
CCDC134	22	41800679	-1.6204
SELM	22	31104772	-0.7017
NPTXR	22	38818452	 0.6387
TCN2	22	30607003	-1.3959
APOL3	22	36140330	 0.1095
KREMEN1	22	29073035	 6.1459
ST13	22	40824535	 1.0611
SEZ6L	22	26169462	 0.7054
TIMP3	22	32801705	-5.3355
IL17RA	22	17084954	 0.9340
SERPIND1	22	20774113	-0.1421
MAPK12	22	50245450	-0.1844
RTN4R	22	20241415	 0.7063
TCN2	22	30607003	-0.2182
MFNG	22	37469063	 0.3389
FAM19A5	22	48489553	 3.1971
CECR1	22	17178790	 1.0330
FBLN1	22	45502238	-1.2331
IGLL1	22	23573125	-0.3288
CHKB	22	50578959	 0.6383
LARGE	22	33162226	 0.7719
TPST2	22	26521996	-1.7900
A4GALT	22	42692121	-0.2506
SCARF2	22	20424584	 2.8512
SCUBE1	22	43197280	 0.4362
PLXNB2	22	50274979	-1.3453
IL2RB	22	37125843	 0.0885
CRKL	22	20917407	-0.2532
SHANK3	22	50674415	-2.9392
SLITRK3	3	165186720	-0.83918
PROK2	3	71771655	 1.77260
ACAP2	3	195274745	 1.15396
CCDC50	3	191329085	 0.16091
NISCH	3	52455118	 0.56005
FAM3D	3	58633946	-0.07806
FSTL1	3	120392293	 0.93046
IL5RA	3	3066324	 1.18794
IL1RAP	3	190514051	 0.95969
RAB6B	3	133824235	 0.39835
KNG1	3	186717348	-2.41138
CPB1	3	148791102	-1.84321
BCHE	3	165772904	 0.48426
BTD	3	15601341	-0.87031
FAIM	3	138608606	 0.04339
CDCP1	3	45082277	-0.18050
CADM2	3	84958989	-6.06774
CHMP2B	3	87227271	-1.78403
EPHB1	3	134795260	 0.36937
ACAA1	3	38103129	-0.11474
PDCD6IP	3	33798571	-1.02785
CPOX	3	98579446	-3.86173
RTP4	3	187368385	 0.15912
ARF4	3	57571363	 1.04839
LRIG1	3	66378797	-2.49444
CLSTN2	3	139935185	 0.14702
RBP1	3	139517434	 2.99435
PLXND1	3	129555214	 0.24438
KNG1	3	186717348	-2.45708
PROS1	3	93873051	-0.77524
LSAMP	3	115802363	 0.20172
CNTN4	3	2098813	-0.68539
FETUB	3	186635969	-3.31543
IL17RD	3	57089982	-2.16557
ADIPOQ	3	186842704	 5.83556
AHSG	3	186613060	 0.11467
BOC	3	113211003	 0.17453
ITIH4	3	52812962	-3.64674
HRG	3	186660216	-2.81975
CD86	3	122055362	-0.24321
ALCAM	3	105366909	-1.06963
PDIA5	3	123067025	-1.00409
SEMA3G	3	52433035	-1.53513
CLEC3B	3	45001548	-1.06573
ROBO1	3	78597239	 1.30446
TDGF1	3	46574534	 1.39221
PCOLCE2	3	142815922	 1.56514
POMGNT2	3	43079232	-0.33617
XXYLT1	3	195068284	-1.21019
CPN2	3	194339768	-2.80927
TIMP4	3	12153068	-0.00144
POGLUT1	3	119468963	-0.00181
LRRC15	3	194355249	 1.42642
ST3GAL6	3	98732236	-1.70614
DNAJB11	3	186567403	 1.54681
ITIH3	3	52794768	-3.71107
CRELD1	3	9933793	 0.57005
KNG1	3	186717348	 0.47193
ITIH1	3	52777595	 3.75400
HYAL1	3	50299890	-0.81189
GRAMD1C	3	113828182	-0.81621
RARRES1	3	158696892	 0.35137
GRAMD1C	3	113828182	-0.81055
CACNA2D3	3	54122547	-0.23211
CHL1	3	196763	-1.69514
PLXNA1	3	126982693	 2.97496
MANF	3	51385291	 2.07813
CAMP	3	48223347	-0.50675
FHIT	3	59747277	 1.37407
TBC1D5	3	17157162	-1.25142
NLGN1	3	173396284	 0.57301
CP	3	149162410	-1.97686
MST1	3	49683947	-0.10467
CD200R1	3	112921205	-0.65208
CD200	3	112332347	-1.23935
HTN3	4	70028455	-1.5191
HHIP	4	144646156	-0.5912
QDPR	4	17460261	-0.1071
ADH5	4	99070978	 0.2278
ADH7	4	99412261	-0.6788
DAPP1	4	99816827	-5.6156
HPGDS	4	94298535	-0.6802
SPINK2	4	56809860	 0.5029
ARFIP1	4	152779937	 1.5894
FGFR3	4	1793293	 0.7025
LAP3	4	17577198	 0.3255
ADH1C	4	99336497	 1.5059
ENPEP	4	110365733	 0.0694
ANTXR2	4	79901146	-3.0411
ENPP6	4	184088706	-0.4749
GC	4	71741696	 0.8798
LAP3	4	17577198	 1.2133
TLR1	4	38790677	-1.3142
PDE5A	4	119494397	-0.1296
TLR3	4	186069155	 1.0480
BDH2	4	103077592	-2.7644
UBE2K	4	39698109	-0.5665
ADH1A	4	99276369	 0.0693
HADH	4	107989714	-1.1307
UGDH	4	39498755	-1.2256
DCTD	4	182890060	 1.7461
ADH6	4	99202638	 0.5361
SLIT2	4	20251905	-0.7460
KLB	4	39406930	 0.2920
F11	4	186266189	-0.8396
CFI	4	109740694	 1.2897
PF4	4	73980811	-2.0565
CXCL1	4	73869393	 1.9626
CXCL11	4	76033682	-1.3256
CXCL2	4	74097040	-0.6535
IDUA	4	986997	 0.2501
NAAA	4	75913660	-2.4844
IGFBP7	4	57030773	 0.5514
IBSP	4	87799554	-0.4420
CASP3	4	184627696	 0.0836
HGFAC	4	3441968	 1.8400
LRPAP1	4	3503612	-0.8015
KDR	4	55078481	 0.2996
EPHA5	4	65319563	-0.9916
CXCL10	4	76021118	 1.7058
SPARCL1	4	87473335	 1.6847
BST1	4	15703065	-1.5237
AFM	4	73481745	 1.1392
FGG	4	154604134	 0.0865
UNC5C	4	95162504	 0.4696
PPID	4	158709127	 2.2328
PDE5A	4	119494397	-1.4029
EGF	4	109912883	 0.2942
SOD3	4	24789912	-1.0301
PF4V1	4	73853296	 0.7163
NPNT	4	105894775	 0.0620
MANBA	4	102630770	-2.2279
TLL1	4	165873237	 2.1424
ART3	4	76011184	 1.9130
PSAPL1	4	7430285	 1.0284
PCDH10	4	133149294	-1.3125
STX18	4	4415742	-1.4454
MAN2B2	4	6575189	 1.6210
CTSO	4	155921580	-1.1295
NUDT9	4	87422573	-0.3577
SPOCK3	4	166733384	 1.2566
FABP2	4	119317250	-1.8968
KLKB1	4	186208979	-2.8233
SPON2	4	1166932	 1.7858
SPINK7	5	148312419	 1.2134
CLINT1	5	157785743	-0.6900
TNFAIP8	5	119268692	 0.9252
CCT5	5	10249929	 2.5676
SEMA5A	5	9035033	 0.4935
PCSK1	5	96390333	 0.8904
CSF1R	5	150053291	-2.3024
IL12B	5	159314780	-0.7820
NUDT12	5	103548855	-1.0825
GM2A	5	151212150	-0.0568
MAPK9	5	180233143	 1.1467
LECT2	5	135922279	-0.1639
CD14	5	140631728	-0.3309
HARS	5	140673035	 0.9152
TARS	5	33440696	-0.7032
THG1L	5	157731420	-0.3960
GLRX	5	95751319	-1.5856
PPIC	5	123023250	 1.7807
UBLCP1	5	159263290	-0.0455
PDCD6	5	271621	 2.8779
HK3	5	176880869	-1.2591
EFNA5	5	107376894	 0.5950
IL6ST	5	55935095	-0.3117
C7	5	40909497	-0.1855
GHR	5	42423439	-2.8827
SPARC	5	151661096	 1.4690
C9	5	39284140	-1.4728
HAPLN1	5	83637805	-0.7509
TGFBI	5	136028988	-1.2522
RGMB	5	98768650	 1.9377
THBS4	5	79991311	 1.6533
PDGFRB	5	150113839	-1.2530
IL17B	5	149371324	 0.1622
ESM1	5	54977867	-1.7621
C6	5	41142116	 0.2076
FST	5	53480626	 1.9205
FER	5	108747841	-4.0898
ERAP1	5	96760810	 0.2346
IL7R	5	35852695	-0.3345
HAVCR2	5	157085832	-0.2953
SPINK6	5	148202794	 2.2908
LIFR	5	38474668	-0.9706
HINT1	5	131155383	 1.4789
CRHBP	5	76953045	 0.2448
SCGB3A1	5	180590105	-0.2211
TXNDC15	5	134874371	 1.6095
NDST1	5	150485818	 4.6009
MGAT4B	5	179797597	 1.2236
C1QTNF3	5	34017858	 0.9773
B4GALT7	5	177600132	-0.1563
SPINK1	5	147824572	 0.1072
ARSK	5	95555101	 0.5840
ERAP2	5	96875986	 2.2899
CD14	5	140631728	-0.2395
HAVCR1	5	157029413	 1.2141
EDIL3	5	83940554	 0.6179
LMAN2	5	177331567	-0.6469
GZMK	5	55024256	-0.8395
FAF2	5	176447628	-0.2098
HEXB	5	74640023	-0.7950
SRA1	5	140537340	 1.8240
SEMA6A	5	116443555	-2.7232
HNRNPAB	5	178204533	-0.0735
SERPINB1	6	2832332	-1.4206
TXNDC5	6	7881517	 1.6591
SMAP1	6	70667776	 1.0305
CLIC5	6	45880827	 3.3281
PSMB1	6	170535120	 0.5314
ECI2	6	4115693	-0.3972
RSPO3	6	127118671	 0.9148
PREP	6	105273218	 0.3232
NT5E	6	85449584	 0.3066
COL9A1	6	70216040	-2.3732
LRP11	6	149818757	-1.8311
VNN2	6	132743870	-1.1191
SMOC2	6	168441151	 1.1950
IGF2R	6	159969082	 0.6915
TREM2	6	41158506	 0.3928
MDGA1	6	37630679	 1.1306
RNASET2	6	166922113	-0.5240
GSTA1	6	52791371	-1.5811
ACOT13	6	24667035	-0.1654
SH3BGRL2	6	79631329	 0.2083
GMPR	6	16238587	 1.0897
CD109	6	73695785	-3.2807
THBS2	6	169215780	-1.9321
PLG	6	160702238	-1.5707
PLG	6	160702238	 0.7564
VTA1	6	142147162	 1.5396
SMPDL3A	6	122789049	-0.0867
VEGFA	6	43770184	-0.2048
IL20RA	6	136999971	-0.5293
IL22RA2	6	137143820	 0.3709
DLL1	6	170282206	-2.4596
TNFRSF21	6	47231532	-0.4093
TREML2	6	41189749	-0.2050
CLPS	6	35794982	 0.3275
ADGRF5	6	46852522	 0.4617
ENPP5	6	46159185	 3.9716
LRP11	6	149818757	-1.6316
GFRAL	6	55327469	 1.0489
MANEA	6	95577485	 1.8001
STX7	6	132445867	 0.7088
UST	6	148747030	 0.6966
RSPO3	6	127118671	 0.8809
TREM1	6	41267926	-0.2720
CRISP2	6	49692358	 0.3768
DLK2	6	43450352	 1.3628
METTL24	6	110243940	-0.7909
PTK7	6	43076307	 0.0382
NQO2	6	2987987	-0.1645
PPIL1	6	36854827	 0.1302
MYO6	6	75749192	-2.0740
PILRA	7	100367530	 0.962121
HSPB1	7	76302673	 1.560775
TBL2	7	73567537	-0.098527
PCOLCE	7	100602363	-1.381801
ASL	7	66075800	-1.902837
BLVRA	7	43758680	 0.749846
BPGM	7	134646811	 1.011618
CROT	7	87345664	-0.055652
VOPP1	7	55436056	 0.253668
VWC2	7	49773638	 0.341562
BMPER	7	33904308	 2.178112
AOC1	7	150824627	 1.667749
PGAM2	7	44062727	-0.321046
EPHB4	7	100802565	-0.666786
GUSB	7	65960684	 0.408338
AKR1B1	7	134442356	-0.760447
SFRP4	7	37905932	-0.615875
NCF1	7	74773962	 1.743903
AKR1D1	7	138002324	-1.237742
UPP1	7	48088628	-2.351515
PLXNA4	7	132123332	 0.850791
INHBA	7	41667168	 0.281802
IGFBP3	7	45912245	-2.092017
EGFR	7	55019017	-0.012323
SHH	7	155799980	 0.128142
MET	7	116672196	-2.459046
SERPINE1	7	101127104	 0.462080
CD36	7	80369575	 3.134358
PTN	7	137227341	 0.049937
PRSS1	7	142749468	-0.000556
RARRES2	7	150338317	-1.274156
EPHA1	7	143390289	 0.497240
SEMA3E	7	83363238	 6.582452
PIP	7	143132077	-0.291311
CCDC126	7	23597382	 1.941190
PILRA	7	100367530	 0.957796
SEMA3C	7	80742538	-1.760047
NPTX2	7	98617285	-1.422537
TRIL	7	28953358	 1.165799
CHST12	7	2403588	 0.910717
SNX8	7	2251770	 0.997904
CNTNAP2	7	146116002	-0.235566
TPST1	7	66205317	-0.406482
ADAM22	7	87934143	 0.091543
GPNMB	7	23235967	 1.784563
GPNMB	7	23235967	 0.960568
CPA4	7	130293134	-0.323599
AZGP1	7	99966720	-2.051769
TAC1	7	97732084	-1.649817
NT5C3A	7	33014130	 3.561804
POR	7	75899200	 1.500475
EPHB6	7	142855061	 1.447405
SCARA5	8	27869883	 0.2475
DECR1	8	90001405	 1.8184
WISP1	8	133191039	 1.7796
DOK2	8	21908873	 2.4300
HRSP12	8	98102344	-0.3545
MSR1	8	16107878	 0.2669
GPT	8	144502973	-0.8067
UNC5D	8	35235475	 1.9315
CDH17	8	94127162	 1.6967
RAB2A	8	60516936	 0.1469
IMPA1	8	81656914	-0.0154
ZFAND1	8	81701334	-0.1906
GSR	8	30678066	-1.2271
DOK2	8	21908873	 2.7881
GFRA2	8	21690398	 0.3381
ANGPT2	8	6499632	 2.2028
NOV	8	119416446	 0.7890
SFRP1	8	41261962	-0.7726
MATN2	8	97868840	-0.2718
BMP1	8	22165140	-1.2173
CA13	8	85220587	-1.1441
LYN	8	55879835	-3.1323
CA3	8	85373436	-0.2615
CA1	8	85327608	-0.6151
FGFR1	8	38400215	 3.3108
FGL1	8	17864380	 1.2353
ST3GAL1	8	133454848	 0.0180
YWHAZ	8	100916523	 0.4206
DEFB1	8	6870592	-0.2707
ASPH	8	61500556	 0.2166
RMDN1	8	86468257	-0.4421
FUT10	8	33370824	 1.1968
CTSB	8	11842524	-2.7178
TNFRSF11B	8	118923557	 2.3963
RSPO2	8	107899316	 2.2227
RIPK2	8	89757806	 1.0110
PENK	8	56436674	 0.5219
IMPAD1	8	56957931	 0.4581
GGH	8	63014881	 1.5680
CPQ	8	96645242	-0.0196
PDGFRL	8	17576433	 0.7048
TNFRSF10D	8	23135588	 2.1979
SVEP1	9	110365248	-1.5612
SVEP1	9	110365248	-2.2294
B4GALT1	9	33104082	 0.2036
FCN2	9	134880810	-0.4034
CNTFR	9	34551432	-0.7605
GLIPR2	9	36136536	-0.8013
ALAD	9	113386312	 0.1286
FCN1	9	134903232	 0.4196
TMEFF1	9	100473149	-0.6194
NUDT2	9	34329506	 0.6649
GSN	9	121207794	 0.9055
PHPT1	9	136848724	 0.1087
ADAMTSL1	9	17906563	 0.0365
OGN	9	92383268	-3.9758
GOLM1	9	86026146	-0.4825
NANS	9	98056732	-1.1309
IL11RA	9	34650702	 0.4424
SH3GLB2	9	129007036	-3.6006
GRHPR	9	37422666	-0.8531
PSAT1	9	78297125	-0.6729
AIF1L	9	131096476	 0.0884
SPINK4	9	33218365	-1.3516
PTGR1	9	111549722	 0.4271
C5	9	120952335	-1.7861
C5	9	120952335	-1.6950
TNFSF15	9	114784652	-0.1343
PDCD1LG2	9	5510531	 0.7897
ADAMTS13	9	133414358	-4.3617
FCN2	9	134880810	-0.3042
CTSV	9	97029677	-0.9314
TNFSF8	9	114893343	 0.3083
TEK	9	27109141	-0.4550
PAPPA	9	116153791	-2.2646
TNC	9	115019575	-1.4301
GSN	9	121207794	 0.2407
NTRK2	9	84668551	-1.4495
ENG	9	127815013	-0.4712
ANXA1	9	73151865	-0.7530
AK1	9	127866486	 1.8024
CD274	9	5450503	 0.9156
NOTCH1	9	136494433	-1.1223
GAS1	9	86944362	 0.8124
OBP2B	9	133205277	-4.9817
OLFM1	9	135075422	 0.8647
SEMA4D	9	89360787	-1.5441
ADAMTSL2	9	133532164	 0.9377
ASPN	9	92456205	 3.2024
ST6GALNAC6	9	127885321	 0.5160
ROR2	9	91563091	-0.3697
QSOX2	9	136206333	 3.6495
COL15A1	9	98943179	-1.1212
GOLM1	9	86026146	-0.2810
TMEM2	9	71683366	 0.9179
CEL	9	133061981	 0.3153
MTAP	9	21802636	-2.6032
ABO	9	133233278	11.0069
